CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	VDATE  	VSZ2   	VNHPOP 	VHPOP  	VPERM  	VTEMP  	VTPOP  	VHCNT  	VPOINT 	VCAT   	VFLAG1 	VFLAG2 	VFLAG3 	VFLAG4 	VFLAG5 	VFLAG6 	VFLAG7 	VFLAG8 	VFLAG9 	VFLAG10	VMB    	VMC    	VB     	VC     	VD     	VE     	VF     	VG     	VL     	VN     	VP     	VR     	VT     	VV     	VZ     
1	01	01	01	00	002	6907	   0	     0	  2663	  2663	     0	  2663	 3	YD466585	C	9	9	9	9	9	9	9	9	 	 	13	10	11009	033292 	124244  	1513199  	9991000	911	882     	08001	3110	192	888892    	          	440
1	01	01	01	00	002	6908	   0	     0	  2663	  2663	     0	  2663	 3	YD466585	C	9	9	9	9	9	9	9	9	 	 	13	10	11009	033292 	124244  	1513199  	9991000	911	882     	08001	3110	192	888892    	          	440
1	01	01	01	00	002	6909	   0	     0	  2663	  2663	     0	  2663	 3	YD466585	C	9	9	9	9	9	9	9	9	 	 	13	10	11010	033230 	124234  	2512103  	3321000	911	881     	21203	3110	112	320032    	          	401
1	01	01	01	00	002	6910	   0	     0	  2796	  2796	     0	  2796	 3	YD466585	C	9	9	9	9	9	9	9	9	 	 	13	10	11010	033230 	124234  	2512103  	3321000	911	881     	21203	3110	112	320032    	          	401
1	01	01	01	00	002	6911	   0	     0	  2796	  2796	     0	  2796	 3	YD466585	C	9	9	9	9	9	9	9	9	 	 	13	10	11010	033230 	124234  	2512103  	3321000	911	881     	21203	3110	112	320032    	          	401
1	01	01	01	00	002	6912	   0	     0	  2796	  2796	     0	  2796	 3	YD466585	B	9	9	9	9	9	9	9	9	 	 	13	10	11010	033230 	124234  	4513103  	3221000	312	101     	32201	1110	112	320032    	          	400
1	01	01	02	00	002	6907	   0	     0	  3413	  3413	     0	  3413	 6	YD454535	C	9	9	9	9	9	9	9	9	 	 	13	10	11009	033292 	124233  	1513199  	9991000	011	210     	29911	3130	192	999199    	          	302
1	01	01	02	00	002	6908	   0	     0	  3413	  3413	     0	  3413	 6	YD454535	C	9	9	9	9	9	9	9	9	 	 	13	00	11009	033292 	124233  	1513199  	9991000	011	210     	29911	3130	192	999199    	          	302
1	01	01	02	00	002	6909	   0	     0	  3413	  3413	     0	  3413	 6	YD454535	B	9	9	9	9	9	9	9	9	 	 	13	10	11010	022232 	124233  	2513103  	3321000	911	111     	21201	3130	192	320032    	          	302
1	01	01	02	00	002	6910	   0	     0	  3468	  3468	     0	  3468	 6	YD454535	B	9	9	9	9	9	9	9	9	 	 	13	20	11010	022232 	124233  	2513103  	3321000	911	111     	21201	3130	192	320032    	          	302
