CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	HDATE  	VSZ1   	HPOPUL 	HPERM  	HTEMP  	HPOINT 	HCAT   	HFLAG1 	HFLAG2 	HFLAG3 	HFLAG4 	HFLAG5 	HFLAG6 	HFLAG7 	HFLAG8 	HFLAG9 	HFLAG10	HMA    	HMB    	HMC    	HMD    	HA     	HB     	HC     	HD     	HE     	HF     	HG     	HL     	HN     	HP     	HR     	HS     	HZ     
1	01	01	01	01	001	7401	   0	  512	  512	    0	YD489562	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	100	5320044054	222533	88*3*	223222	81012	012	324	12	13110	42012	002630
1	01	01	01	02	001	7401	   0	  434	  434	    0	YD489563	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	100	5320044054	222533	88*3*	223222	81012	012	324	12	23110	42012	002630
1	01	01	01	03	001	7401	   0	   82	   82	    0	YD489564	B	0	9	9	9	0	9	9	9	9	R	81	00000000	0000	0000000	23	100	5320044054	222533	88*3*	223222	81012	012	324	12	13110	42012	002630
1	01	01	01	04	001	7401	   0	  210	    0	  210	YD493562	C	0	9	9	9	1	9	9	9	9	R	82	00000000	0000	0000000	23	210	4211034244	221445	82*3*	321221	83032	012	425	12	13110	42212	002631
1	01	01	01	05	001	7401	   0	  438	    0	  438	YD493563	C	0	9	9	9	0	9	9	9	9	R	82	00000000	0000	0000000	23	210	4211034244	221445	82*3*	321221	83032	012	425	12	13110	42212	002630
1	01	01	02	01	001	7401	   0	  383	  383	    0	YD448540	B	0	9	9	9	1	9	9	9	9	R	81	00000000	0000	0000000	23	100	4220044054	222533	83*3*	133222	82033	011	434	23	13110	42212	002611
1	01	01	02	02	001	7401	   0	 1520	 1520	    0	YD454535	B	0	9	9	9	1	9	9	9	9	R	81	00000000	0000	0000000	23	100	4220044054	222533	83*3*	133222	82033	011	434	33	23110	42212	002611
1	01	01	02	03	001	7401	   0	  685	  685	    0	YD458529	B	0	9	9	9	1	9	9	9	9	R	82	00000000	0000	0000000	23	100	4220044054	222533	83*3*	133222	82033	011	434	23	13110	42212	002611
1	01	01	02	04	001	7401	   0	  944	  944	    0	YD442547	B	0	9	9	9	1	9	9	9	9	R	82	00000000	0000	0000000	13	100	4220044054	222533	83*3*	133222	82133	011	434	23	13110	42212	002611
1	01	01	02	05	001	7401	   0	  483	  483	    0	YD436553	B	0	9	9	9	1	9	9	9	9	R	82	00000000	0000	0000000	23	100	4220044054	222533	83*3*	133222	82132	011	434	23	13110	42212	002611
