CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	MDATE  	VSZ3   	MPOPUL 	MOD8   	MOD7A  	MOD7B  	MOD6A  	MOD6B  	MOD5A  	MOD5B  	MOD5C  	MOD5D  	MOD5E  	MOD5F  	MOD4   	MOD3A  	MOD3B  	MOD3C  	MOD2A  	MOD2B  	MOD2C  	MOD2D  	MOD2E  	MOD2F  	MOD1A  	MOD1B  	MOD1C  	MOD1D  	MOD1E  	MOD1F  	MOD1G  	MOD1H  	MOD1I  	MOD1J  	MOD1K  	MOD1L  	MOD1M  	MOD1N  	MOD1O  	MOD1P  	MOD1Q  	MOD1R  	MOD1S  
1	01	01	01	00	003	7401	   0	     0	C	C	D	C	B	B	C	C	B	D	D	C	B	C	D	B	B	C	C	D	C	B	B	B	B	B	A	N	C	C	B	C	C	B	C	D	N	B	D	C
1	01	01	01	01	003	7401	   0	   512	B	B	D	B	A	B	A	B	B	C	D	B	A	B	D	B	A	B	B	D	C	B	A	A	A	A	A	B	B	B	A	B	D	C	C	D	D	B	D	C
1	01	01	01	02	003	7401	   0	   434	B	B	D	B	A	B	A	B	B	C	D	B	A	B	D	B	A	B	B	D	C	B	A	A	A	A	A	B	B	B	A	B	D	C	C	D	D	B	D	C
1	01	01	01	03	003	7401	   0	    82	B	B	D	B	A	B	A	B	B	C	D	B	A	B	D	B	A	B	B	D	C	B	A	A	A	A	A	B	B	B	A	B	D	C	C	D	D	B	D	C
1	01	01	01	04	003	7401	   0	   210	C	C	D	C	B	B	B	C	C	B	D	C	B	C	D	B	B	C	B	D	C	B	A	A	B	B	A	B	C	B	B	C	B	C	C	D	D	A	D	C
1	01	01	01	05	003	7401	   0	   438	C	C	D	C	B	B	B	C	C	B	D	C	B	C	D	B	B	C	B	D	C	B	A	A	B	B	A	B	C	B	B	C	B	C	C	D	D	A	D	C
1	01	01	02	00	003	7401	   0	     0	C	C	D	C	C	C	C	C	B	D	C	C	C	C	C	C	B	C	C	C	C	C	B	C	B	B	A	N	C	C	A	B	C	B	C	C	N	B	D	C
1	01	01	02	01	003	7401	   0	   383	B	B	C	B	B	B	A	B	B	B	C	B	B	B	C	B	A	B	B	C	C	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	02	02	003	7401	   0	  1520	B	B	C	B	B	B	A	B	B	B	C	B	B	B	C	B	A	B	B	C	C	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	02	03	003	7401	   0	   685	B	B	C	B	B	B	A	B	B	B	C	B	B	B	C	B	A	B	B	C	C	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	02	04	003	7401	   0	   944	B	B	C	B	B	B	A	B	B	B	C	B	B	B	C	B	A	B	B	C	C	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	02	05	003	7401	   0	   483	B	B	C	B	B	B	A	B	B	B	C	B	B	B	C	B	A	B	B	C	C	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	02	06	003	7401	   0	    66	B	B	C	B	B	B	A	B	B	B	C	B	B	B	C	B	A	B	B	C	C	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	03	00	003	7401	   0	     0	C	C	C	B	C	B	C	B	A	C	B	B	B	B	C	B	B	B	B	B	C	B	B	C	B	B	A	N	A	B	A	B	A	A	A	B	N	B	C	C
1	01	01	03	01	003	7401	   0	   668	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	C	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	C	C
1	01	01	03	02	003	7401	   0	   355	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	C	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	C	C
1	01	01	03	03	003	7401	   0	  2174	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	B	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	B	C
1	01	01	03	04	003	7401	   0	   740	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	C	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	C	C
1	01	01	03	05	003	7401	   0	   576	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	C	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	C	C
1	01	01	03	06	003	7401	   0	   305	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	C	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	C	C
1	01	01	03	07	003	7401	   0	   664	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	C	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	C	C
1	01	01	03	11	003	7401	   0	   547	B	B	C	A	B	B	A	A	A	B	C	B	B	A	C	B	A	A	A	C	B	B	B	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	B	C
1	01	01	04	00	003	7401	   0	     0	C	C	D	C	C	C	C	C	B	C	D	C	C	C	D	C	B	C	C	D	C	C	B	N	B	B	A	N	C	C	A	B	C	B	D	D	N	B	D	B
1	01	01	04	01	003	7401	   0	   267	B	B	D	B	B	B	A	B	B	B	D	B	B	B	D	B	A	B	B	D	D	B	A	B	A	A	A	B	B	B	A	A	C	C	D	C	D	A	E	B
1	01	01	04	02	003	7401	   0	  1007	B	B	D	B	B	B	A	B	B	B	D	B	B	B	D	B	A	B	B	D	D	B	A	B	A	A	A	B	B	B	A	A	C	C	D	C	D	A	E	B
1	01	01	04	03	003	7401	   0	   253	B	B	D	B	B	B	A	B	B	B	D	B	B	B	D	B	A	B	B	D	D	B	A	B	A	A	A	B	B	B	A	A	C	C	D	C	D	A	E	B
1	01	01	04	04	003	7401	   0	   364	B	B	D	B	B	B	A	B	B	B	D	B	B	B	D	B	A	B	B	D	D	B	A	B	A	A	A	B	B	B	A	A	C	C	D	C	D	A	E	B
1	01	01	04	05	003	7401	   0	   412	B	B	D	B	B	B	A	B	B	B	D	B	B	B	D	B	A	B	B	D	D	B	A	B	A	A	A	B	B	B	A	A	C	C	D	C	D	A	E	B
1	01	01	05	00	003	7401	   0	     0	C	C	D	C	C	C	C	C	B	C	D	C	C	B	D	C	B	C	B	D	C	C	B	N	B	B	A	N	C	C	A	B	B	B	D	C	N	B	D	C
1	01	01	05	01	003	7401	   0	  1104	B	B	C	B	B	B	A	B	B	B	C	B	B	B	C	B	A	B	B	C	C	B	A	B	A	A	A	B	B	B	A	A	B	B	C	C	D	A	D	C
