CORPS  	PROV   	DIST   	VILG   	HAM    	 +PCN   	VMDATE 	VSZ4   	VMPOPUL	VMOD8  	VMOD7A 	VMOD7B 	VMOD6A 	VMOD6B 	VMOD5A 	VMOD5B 	VMOD5C 	VMOD5D 	VMOD5E 	VMOD5F 	VMOD4  	VMOD3A 	VMOD3B 	VMOD3C 	VMOD2A 	VMOD2B 	VMOD2C 	VMOD2D 	VMOD2E 	VMOD2F 	VMOD1A 	VMOD1B 	VMOD1C 	VMOD1D 	VMOD1E 	VMOD1F 	VMOD1G 	VMOD1H 	VMOD1I 	VMOD1J 	VMOD1K 	VMOD1L 	VMOD1M 	VMOD1N 	VMOD1O 	VMOD1P 	VMOD1Q 	VMOD1R 	VMOD1S 
1	01	01	01	00	004	7401	   0	  1676	B	B	D	B	A	B	A	B	B	C	D	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	A	B	B	B	A	B	C	C	C	D	D	B	D	C
1	01	01	02	00	004	7401	   0	  4081	B	B	C	B	B	B	A	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	B	B	A	B	B	B	B	C	D	A	D	C
1	01	01	03	00	004	7401	   0	  6029	B	B	C	A	B	B	A	A	A	B	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	A	A	A	A	A	A	A	C	C	A	C	C
1	01	01	04	00	004	7401	   0	  2303	B	B	D	B	B	B	A	B	B	B	D	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	B	B	A	A	C	C	D	C	D	A	E	B
1	01	01	05	00	004	7401	   0	  6090	B	B	C	B	B	B	A	B	B	B	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	B	B	A	A	B	B	C	C	D	A	D	C
1	01	01	07	00	004	7401	   0	  4050	B	B	C	B	B	C	A	B	B	B	C	 	 	 	 	 	 	 	 	 	 	C	B	B	A	A	A	B	B	B	A	A	A	B	B	C	D	A	D	D
1	01	01	08	00	004	7401	   0	  2496	B	B	D	B	B	B	A	B	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	B	A	A	A	B	B	A	C	D	A	D	D
1	01	01	09	00	004	7401	   0	  3278	B	B	D	B	A	B	A	B	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	A	B	B	B	A	A	B	B	B	C	D	A	D	D
1	01	01	10	00	004	7401	   0	  4009	B	B	C	B	B	B	A	A	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	A	A	A	C	A	B	C	C	D	B	C	D
1	01	01	12	00	004	7401	   0	  6860	B	B	C	B	B	B	A	B	A	B	B	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	A	B	A	A	A	A	B	B	D	A	C	D
1	01	01	13	00	004	7401	   0	  5081	B	B	C	B	B	B	B	B	B	B	C	 	 	 	 	 	 	 	 	 	 	C	A	B	A	B	A	B	B	B	A	A	B	B	C	C	D	A	D	C
1	01	01	14	00	004	7401	   0	  6330	B	B	D	B	B	B	A	A	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	A	A	A	A	B	B	C	C	D	A	D	D
1	01	01	15	00	004	7401	   0	  2778	B	B	D	B	B	B	A	B	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	B	A	A	A	B	B	B	A	A	B	B	C	C	D	A	D	D
1	01	01	16	00	004	7401	   0	  2638	B	B	D	B	A	B	A	B	B	C	C	 	 	 	 	 	 	 	 	 	 	B	A	A	A	A	A	B	B	B	A	C	A	C	C	C	D	B	D	D
